name,body_part,description,image_url
Bench Press,CHEST,Compound push exercise targeting chest, shoulders, and triceps.,
Squat,LEGS,Compound lower body exercise targeting quads, glutes, and hamstrings.,
Deadlift,BACK,Full body compound exercise primarily targeting back and legs.,
Overhead Press,SHOULDERS,Vertical pressing movement for shoulders and triceps.,
Barbell Row,BACK,Horizontal pulling exercise for back thickness.,
Pull Up,BACK,Vertical pulling exercise for back width and biceps.,
Dumbbell Curl,BICEPS,Isolation exercise for biceps.,
Tricep Dips,TRICEPS,Compound pushing exercise for triceps.,
Leg Press,LEGS,Machine exercise for quads and glutes.,
Lat Pulldown,BACK,Machine exercise for lat development.,
Leg Curl,HAMSTRINGS,Isolation exercise for hamstrings.,
Calf Raise,CALVES,Isolation exercise for calves.,
Plank,CORE,Isometric core stability exercise.,
Incline Bench Press,CHEST,Upper chest focused pressing movement.,
Romanian Deadlift,HAMSTRINGS,Hip hinge movement targeting hamstrings and glutes.,
Dumbbell Bench Press,CHEST,Chest pressing exercise using dumbbells for greater range of motion.,
Chest Fly Machine,CHEST,Isolation exercise targeting the chest using a fly machine.,
Push Up,CHEST,Bodyweight pushing exercise targeting chest, shoulders, and triceps.,
Seated Cable Row,BACK,Horizontal pulling movement targeting mid back and lats.,
Face Pull,SHOULDERS,Cable exercise targeting rear delts and upper back.,
Dumbbell Row,BACK,Single arm rowing exercise for back thickness and stability.,
Lateral Raise,SHOULDERS,Isolation exercise for lateral deltoid development.,
Front Raise,SHOULDERS,Isolation movement targeting the anterior deltoids.,
Hammer Curl,BICEPS,Biceps exercise emphasizing the brachialis and forearms.,
Preacher Curl,BICEPS,Isolation curl performed on a preacher bench.,
Tricep Pushdown,TRICEPS,Cable exercise isolating the triceps.,
Skull Crushers,TRICEPS,Lying triceps extension targeting all three heads of the triceps.,
Lunges,LEGS,Unilateral lower body exercise targeting quads and glutes.,
Walking Lunges,LEGS,Dynamic lunge variation emphasizing balance and coordination.,
Leg Extension,QUADS,Machine isolation exercise targeting the quadriceps.,
Hip Thrust,GLUTES,Glute focused hip extension movement.,
Glute Bridge,GLUTES,Bodyweight glute exercise emphasizing hip extension.,
Seated Leg Curl,HAMSTRINGS,Machine exercise isolating the hamstrings.,
Standing Calf Raise,CALVES,Standing calf exercise targeting the gastrocnemius.,
Hanging Leg Raise,CORE,Core exercise targeting lower abdominals using bodyweight.,
Crunch,CORE,Basic abdominal flexion exercise.,
Russian Twist,CORE,Rotational core exercise emphasizing the obliques.,
Burpee,FULL_BODY,Full body bodyweight exercise combining squat, push up, and jump.,
Mountain Climbers,CORE,Dynamic bodyweight core and conditioning exercise.,
Kettlebell Swing,FULL_BODY,Explosive hip hinge exercise targeting the posterior chain.,
Goblet Squat,LEGS,Squat variation using a dumbbell or kettlebell.,
Assisted Pull Up,BACK,Pull up variation using machine assistance.,
Chest Dips,CHEST,Bodyweight dip variation emphasizing chest engagement.,
Cable Chest Fly,CHEST,Chest fly movement performed with cables.,
Incline Dumbbell Press,CHEST,Upper chest press using dumbbells.,
Arnold Press,SHOULDERS,Shoulder press variation with rotation.,
Reverse Fly Machine,SHOULDERS,Rear delt focused machine exercise.,
Farmer Carry,FULL_BODY,Loaded carry exercise improving grip and core stability.,
Box Jump,LEGS,Explosive plyometric lower body exercise.,
Bodyweight Squat,LEGS,Fundamental squat movement using bodyweight only.,
